pose23,
1.2,"[['Right Knee', NormalizedLandmark(x=0.3948194086551666, y=0.5034598708152771, z=0.0487050861120224, visibility=0.9999891519546509, presence=0.9999994039535522)], ['Left Knee', NormalizedLandmark(x=0.4260384738445282, y=0.4917357861995697, z=-0.048846080899238586, visibility=0.9999833106994629, presence=0.9999996423721313)], ['Right Ankle', NormalizedLandmark(x=0.4308303892612457, y=0.6152349710464478, z=0.1307751089334488, visibility=0.8375613689422607, presence=0.9999725818634033)], ['Left Ankle', NormalizedLandmark(x=0.4678230881690979, y=0.5877652168273926, z=-0.008203133009374142, visibility=0.9083768725395203, presence=0.9999877214431763)], ['Right Heel', NormalizedLandmark(x=0.45873016119003296, y=0.7320771813392639, z=0.1515873521566391, visibility=0.8576906323432922, presence=0.9999336004257202)], ['Left Heel', NormalizedLandmark(x=0.4807203710079193, y=0.7197672724723816, z=0.006863310933113098, visibility=0.8308467268943787, presence=0.9999326467514038)], ['Right Foot Index', NormalizedLandmark(x=0.4625300467014313, y=0.7503485083580017, z=0.15159058570861816, visibility=0.9305062890052795, presence=0.9998133778572083)], ['Left Foot Index', NormalizedLandmark(x=0.4773431718349457, y=0.7448000311851501, z=0.0081924544647336, visibility=0.850206196308136, presence=0.9998997449874878)]]"
1.233333333,"[['Right Knee', NormalizedLandmark(x=0.3926091492176056, y=0.5019177198410034, z=0.06765510886907578, visibility=0.9999885559082031, presence=0.9999996423721313)], ['Left Knee', NormalizedLandmark(x=0.42440348863601685, y=0.4881799519062042, z=-0.06786157935857773, visibility=0.999984085559845, presence=0.9999996423721313)], ['Right Ankle', NormalizedLandmark(x=0.4315843880176544, y=0.6144072413444519, z=0.12176435440778732, visibility=0.8366007208824158, presence=0.9999791383743286)], ['Left Ankle', NormalizedLandmark(x=0.46684521436691284, y=0.5900134444236755, z=-0.008111721836030483, visibility=0.9162613153457642, presence=0.9999797344207764)], ['Right Heel', NormalizedLandmark(x=0.45852580666542053, y=0.7309486269950867, z=0.10804463922977448, visibility=0.8650397658348083, presence=0.999953031539917)], ['Left Heel', NormalizedLandmark(x=0.4956803023815155, y=0.7109608054161072, z=0.005041229072958231, visibility=0.8462743163108826, presence=0.9999326467514038)], ['Right Foot Index', NormalizedLandmark(x=0.46068519353866577, y=0.7483657002449036, z=0.1040710061788559, visibility=0.933456301689148, presence=0.99982750415802)], ['Left Foot Index', NormalizedLandmark(x=0.4950581192970276, y=0.7303754091262817, z=0.005607981234788895, visibility=0.8632689714431763, presence=0.9999141693115234)]]"
1.266666667,"[['Right Knee', NormalizedLandmark(x=0.38880109786987305, y=0.5049235820770264, z=0.07111244648694992, visibility=0.9999865889549255, presence=0.9999980926513672)], ['Left Knee', NormalizedLandmark(x=0.4173126220703125, y=0.49376416206359863, z=-0.07135603576898575, visibility=0.9999814033508301, presence=0.9999947547912598)], ['Right Ankle', NormalizedLandmark(x=0.43109816312789917, y=0.6128982901573181, z=0.12047233432531357, visibility=0.8407719731330872, presence=0.999943733215332)], ['Left Ankle', NormalizedLandmark(x=0.457643985748291, y=0.5679914951324463, z=-0.018061170354485512, visibility=0.9170399308204651, presence=0.9998372793197632)], ['Right Heel', NormalizedLandmark(x=0.4580380618572235, y=0.7354157567024231, z=0.09338834881782532, visibility=0.8745404481887817, presence=0.9995390176773071)], ['Left Heel', NormalizedLandmark(x=0.483609676361084, y=0.6293359994888306, z=0.03291318565607071, visibility=0.8489017486572266, presence=0.999455988407135)], ['Right Foot Index', NormalizedLandmark(x=0.4568692445755005, y=0.7562862038612366, z=0.08848924189805984, visibility=0.93697190284729, presence=0.9979628324508667)], ['Left Foot Index', NormalizedLandmark(x=0.4926621615886688, y=0.6410894989967346, z=0.03858790919184685, visibility=0.8612701892852783, presence=0.9993906021118164)]]"
1.3,"[['Right Knee', NormalizedLandmark(x=0.38653433322906494, y=0.49524858593940735, z=0.07459411770105362, visibility=0.9999827146530151, presence=0.9999973773956299)], ['Left Knee', NormalizedLandmark(x=0.4117296636104584, y=0.49259158968925476, z=-0.07477700710296631, visibility=0.9999788403511047, presence=0.9999972581863403)], ['Right Ankle', NormalizedLandmark(x=0.42875340580940247, y=0.6073146462440491, z=0.18976226449012756, visibility=0.8010349869728088, presence=0.9999508857727051)], ['Left Ankle', NormalizedLandmark(x=0.459585577249527, y=0.5564411282539368, z=0.031922295689582825, visibility=0.8839877247810364, presence=0.9999362230300903)], ['Right Heel', NormalizedLandmark(x=0.45251840353012085, y=0.7363241314888, z=0.25389736890792847, visibility=0.8625923991203308, presence=0.9995525479316711)], ['Left Heel', NormalizedLandmark(x=0.44176653027534485, y=0.6420392394065857, z=0.18944333493709564, visibility=0.8113938570022583, presence=0.9997398257255554)], ['Right Foot Index', NormalizedLandmark(x=0.45190510153770447, y=0.7608181238174438, z=0.25732114911079407, visibility=0.916974663734436, presence=0.998492956161499)], ['Left Foot Index', NormalizedLandmark(x=0.4335663318634033, y=0.6573017835617065, z=0.20513279736042023, visibility=0.8125767707824707, presence=0.999757707118988)]]"
1.333333333,"[['Right Knee', NormalizedLandmark(x=0.3824557363986969, y=0.4870598316192627, z=0.06936091929674149, visibility=0.9999818205833435, presence=0.9999991655349731)], ['Left Knee', NormalizedLandmark(x=0.4093908369541168, y=0.4892576336860657, z=-0.06956710666418076, visibility=0.9999779462814331, presence=0.9999986886978149)], ['Right Ankle', NormalizedLandmark(x=0.4243147373199463, y=0.5988443493843079, z=0.15255117416381836, visibility=0.7598671317100525, presence=0.9999779462814331)], ['Left Ankle', NormalizedLandmark(x=0.45062920451164246, y=0.5244704484939575, z=0.036747947335243225, visibility=0.8427755236625671, presence=0.9999678134918213)], ['Right Heel', NormalizedLandmark(x=0.446824848651886, y=0.7320380210876465, z=0.1759604662656784, visibility=0.8513597249984741, presence=0.9999042749404907)], ['Left Heel', NormalizedLandmark(x=0.4275977313518524, y=0.6288169026374817, z=0.12670761346817017, visibility=0.7885584831237793, presence=0.9999291896820068)], ['Right Foot Index', NormalizedLandmark(x=0.4445795714855194, y=0.7534626722335815, z=0.1754305213689804, visibility=0.9045495986938477, presence=0.9996885061264038)], ['Left Foot Index', NormalizedLandmark(x=0.4165310561656952, y=0.6561718583106995, z=0.13479232788085938, visibility=0.7804755568504333, presence=0.9999265670776367)]]"
pose24,
0.966666667,"[['Right Knee', NormalizedLandmark(x=0.3552427589893341, y=0.5928640961647034, z=0.05814410746097565, visibility=0.9999307990074158, presence=0.9999977350234985)], ['Left Knee', NormalizedLandmark(x=0.38574984669685364, y=0.5866631865501404, z=-0.0583600290119648, visibility=0.9999366998672485, presence=0.9999958276748657)], ['Right Ankle', NormalizedLandmark(x=0.40689313411712646, y=0.6787957549095154, z=0.20602187514305115, visibility=0.6431233882904053, presence=0.9999667406082153)], ['Left Ankle', NormalizedLandmark(x=0.4464262127876282, y=0.6463894844055176, z=-0.0017957892268896103, visibility=0.8755179047584534, presence=0.9999661445617676)], ['Right Heel', NormalizedLandmark(x=0.4442514479160309, y=0.7803005576133728, z=0.25143933296203613, visibility=0.7521225810050964, presence=0.9998310804367065)], ['Left Heel', NormalizedLandmark(x=0.44259461760520935, y=0.7515945434570312, z=0.10981876403093338, visibility=0.8072652816772461, presence=0.9998815059661865)], ['Right Foot Index', NormalizedLandmark(x=0.44586652517318726, y=0.8053759932518005, z=0.2527752220630646, visibility=0.8366096019744873, presence=0.9993458390235901)], ['Left Foot Index', NormalizedLandmark(x=0.43112713098526, y=0.7754713892936707, z=0.13304470479488373, visibility=0.8052491545677185, presence=0.9998093247413635)]]"
1,"[['Right Knee', NormalizedLandmark(x=0.358432412147522, y=0.5854114890098572, z=0.09426453709602356, visibility=0.9999373555183411, presence=0.9999998807907104)], ['Left Knee', NormalizedLandmark(x=0.37892141938209534, y=0.5812117457389832, z=-0.09440289437770844, visibility=0.9999427795410156, presence=0.9999997615814209)], ['Right Ankle', NormalizedLandmark(x=0.4115445911884308, y=0.6762164831161499, z=0.2517606317996979, visibility=0.6627779006958008, presence=0.9999958276748657)], ['Left Ankle', NormalizedLandmark(x=0.43871840834617615, y=0.6456820964813232, z=-0.07383985072374344, visibility=0.8878872394561768, presence=0.999997615814209)], ['Right Heel', NormalizedLandmark(x=0.442106693983078, y=0.7780553698539734, z=0.3578709065914154, visibility=0.7734976410865784, presence=0.9999794960021973)], ['Left Heel', NormalizedLandmark(x=0.48823410272598267, y=0.7774974703788757, z=-0.06946530938148499, visibility=0.8264724612236023, presence=0.9999850988388062)], ['Right Foot Index', NormalizedLandmark(x=0.44598567485809326, y=0.8071014881134033, z=0.36516791582107544, visibility=0.8487502932548523, presence=0.9999120235443115)], ['Left Foot Index', NormalizedLandmark(x=0.4854556918144226, y=0.8095965385437012, z=-0.06961382180452347, visibility=0.824326753616333, presence=0.9999685287475586)]]"
1.033333333,"[['Right Knee', NormalizedLandmark(x=0.3585736155509949, y=0.574995756149292, z=0.08826233446598053, visibility=0.9999415874481201, presence=0.9999983310699463)], ['Left Knee', NormalizedLandmark(x=0.37688305974006653, y=0.564507246017456, z=-0.088407002389431, visibility=0.999947190284729, presence=0.9999977350234985)], ['Right Ankle', NormalizedLandmark(x=0.4100821614265442, y=0.6740415096282959, z=0.20970259606838226, visibility=0.6511914134025574, presence=0.9999748468399048)], ['Left Ankle', NormalizedLandmark(x=0.43369388580322266, y=0.645273745059967, z=0.02817634493112564, visibility=0.8951020240783691, presence=0.9999381303787231)], ['Right Heel', NormalizedLandmark(x=0.438148558139801, y=0.7811634540557861, z=0.2999238967895508, visibility=0.7716120481491089, presence=0.999809205532074)], ['Left Heel', NormalizedLandmark(x=0.480164110660553, y=0.7126423120498657, z=0.149687260389328, visibility=0.8374540209770203, presence=0.9996825456619263)], ['Right Foot Index', NormalizedLandmark(x=0.4391806423664093, y=0.8050106167793274, z=0.3064400553703308, visibility=0.844515860080719, presence=0.9992824196815491)], ['Left Foot Index', NormalizedLandmark(x=0.4826422929763794, y=0.7403749227523804, z=0.16154585778713226, visibility=0.8334518671035767, presence=0.9997072815895081)]]"
1.133333333,"[['Right Knee', NormalizedLandmark(x=0.3636492192745209, y=0.5060520172119141, z=0.07856837660074234, visibility=0.9999509453773499, presence=0.9999992847442627)], ['Left Knee', NormalizedLandmark(x=0.36791491508483887, y=0.5233075022697449, z=-0.07873191684484482, visibility=0.9999552369117737, presence=0.999998927116394)], ['Right Ankle', NormalizedLandmark(x=0.3904173672199249, y=0.6189438700675964, z=0.15916015207767487, visibility=0.5439532995223999, presence=0.9999929666519165)], ['Left Ankle', NormalizedLandmark(x=0.3955850303173065, y=0.6249056458473206, z=0.02353501319885254, visibility=0.8788331747055054, presence=0.9999809265136719)], ['Right Heel', NormalizedLandmark(x=0.4011191129684448, y=0.7575241923332214, z=0.20734719932079315, visibility=0.7242082357406616, presence=0.9999148845672607)], ['Left Heel', NormalizedLandmark(x=0.395958811044693, y=0.7661895155906677, z=0.11911293864250183, visibility=0.8538722395896912, presence=0.999883770942688)], ['Right Foot Index', NormalizedLandmark(x=0.3965120017528534, y=0.7886037826538086, z=0.20817510783672333, visibility=0.7669219374656677, presence=0.9996008276939392)], ['Left Foot Index', NormalizedLandmark(x=0.38934528827667236, y=0.7965839505195618, z=0.12661822140216827, visibility=0.8010369539260864, presence=0.999846339225769)]]"
